id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,type,participant_id,number,question,response
309,2017-03-10 01:55:53.613205,,,,,,f,,question,98,2,difficulty,7
310,2017-03-10 01:55:53.679411,,,,,,f,,question,98,3,"",""
311,2017-03-10 01:56:01.371622,,,,,,f,,question,92,1,engagement,7
312,2017-03-10 01:56:01.642753,,,,,,f,,question,92,2,difficulty,9
313,2017-03-10 01:56:01.903539,,,,,,f,,question,92,3,"",""
314,2017-03-10 01:56:02.369485,,,,,,f,,question,92,4,"",""
315,2017-03-10 01:56:09.915492,,,,,,f,,question,95,1,engagement,10
316,2017-03-10 01:56:09.996949,,,,,,f,,question,95,2,difficulty,8
317,2017-03-10 01:56:10.108511,,,,,,f,,question,95,3,"",""
318,2017-03-10 01:56:20.948021,,,,,,f,,question,97,1,engagement,5
319,2017-03-10 01:56:21.343473,,,,,,f,,question,97,2,difficulty,10
320,2017-03-10 01:56:38.314712,,,,,,f,,question,100,1,engagement,10
321,2017-03-10 01:56:38.430342,,,,,,f,,question,100,2,difficulty,7
322,2017-03-10 01:56:38.543479,,,,,,f,,question,100,3,"",""
323,2017-03-10 01:58:05.416408,,,,,,f,,question,101,1,engagement,8
324,2017-03-10 01:58:05.471101,,,,,,f,,question,101,2,difficulty,2
326,2017-03-10 01:58:05.592608,,,,,,f,,question,101,4,"",""
327,2017-03-10 01:58:20.038631,,,,,,f,,question,96,1,engagement,8
328,2017-03-10 01:58:20.688792,,,,,,f,,question,96,2,difficulty,7
332,2017-03-10 01:58:42.412718,,,,,,f,,question,102,3,"",""
325,2017-03-10 01:58:05.53911,,,,,,f,,question,101,3,"",""
329,2017-03-10 01:58:21.329986,,,,,,f,,question,96,3,"",""
330,2017-03-10 01:58:41.576122,,,,,,f,,question,102,1,engagement,8
331,2017-03-10 01:58:42.017297,,,,,,f,,question,102,2,difficulty,7
333,2017-03-10 01:58:42.988349,,,,,,f,,question,102,4,"",""
334,2017-03-10 02:00:10.743243,,,,,,f,,question,104,1,engagement,10
335,2017-03-10 02:00:11.083721,,,,,,f,,question,104,2,difficulty,1
336,2017-03-10 02:00:11.337459,,,,,,f,,question,104,3,"",""
337,2017-03-10 02:00:11.585932,,,,,,f,,question,104,4,"",""
338,2017-03-10 02:00:20.834831,,,,,,f,,question,103,1,engagement,10
339,2017-03-10 02:00:21.459282,,,,,,f,,question,103,2,difficulty,5
340,2017-03-10 02:00:21.803638,,,,,,f,,question,103,3,"",""
341,2017-03-10 02:00:22.145306,,,,,,f,,question,103,4,"",""
342,2017-03-10 02:00:56.410471,,,,,,f,,question,105,1,engagement,10
343,2017-03-10 02:00:56.703525,,,,,,f,,question,105,2,difficulty,5
344,2017-03-10 02:00:56.994697,,,,,,f,,question,105,3,"",""
345,2017-03-10 02:00:57.279872,,,,,,f,,question,105,4,"",""
346,2017-03-10 02:01:00.568848,,,,,,f,,question,110,1,engagement,6
347,2017-03-10 02:01:00.663149,,,,,,f,,question,110,2,difficulty,10
348,2017-03-10 02:01:00.750736,,,,,,f,,question,110,3,"",""
349,2017-03-10 02:01:00.878018,,,,,,f,,question,110,4,"",""
350,2017-03-10 02:01:09.881516,,,,,,f,,question,106,1,engagement,10
351,2017-03-10 02:01:09.973419,,,,,,f,,question,106,2,difficulty,10
352,2017-03-10 02:01:10.079974,,,,,,f,,question,106,3,"",""
353,2017-03-10 02:01:10.177557,,,,,,f,,question,106,4,"",""
354,2017-03-10 02:01:16.149387,,,,,,f,,question,108,1,engagement,8
355,2017-03-10 02:01:16.273922,,,,,,f,,question,108,2,difficulty,7
356,2017-03-10 02:01:16.38579,,,,,,f,,question,108,3,"",""
